testPoint,feature,observation,substance,concentration,unit
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.1763231,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,413.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146496,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146496,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL210144001R.20210112.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,413.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.1763231,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,351.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.375224,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFBA_A,55.6,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.39108344,http://w3id.org/sawgraph/v1/me-egad-data#parameter.8-2_FTS_A,45.4,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.152668,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.152668,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038501.20210303.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,351.0,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146501,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146501,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038502R.20210303.1763231,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,2.21,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146501,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146501,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038502R.20210303.2706903,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFPEA_A,9.87,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146501,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146501,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038502R.20210303.307244,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXA_A,4.94,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146501,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146501,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038502R.20210303.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,1.09,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146501,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146501,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038502R.20210303.375224,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFBA_A,8.26,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146501,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146501,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038502R.20210303.375859,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHPA_A,3.04,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.146501,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.146501,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL211038502R.20210303.39108344,http://w3id.org/sawgraph/v1/me-egad-data#parameter.8-2_FTS_A,1.86,http://w3id.org/coso/v1/contaminoso#NanoGM-PER-GM
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95064,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95064,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132502.20230302.1763231,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,2.25,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95064,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95064,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132502.20230302.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,5.69,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95064,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95064,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132502.20230302.355464,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXS_A,2.58,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95064,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95064,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132502.20230302.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,7.94,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95064,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95064,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132502.20230302.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,10.52,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95064,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95064,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132502.20230302.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,10.52,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.1763231,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,17.2,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.307244,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXA_A,4.69,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,34.2,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.355464,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXS_A,9.81,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.375224,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFBA_A,2.66,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.375859,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHPA_A,4.88,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,51.4,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,66.1,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132505.20230302.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,66.1,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.1763231,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,5.41,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.2706903,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFPEA_A,1.96,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.307244,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXA_A,3.32,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,20.2,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.355464,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXS_A,5.06,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.375224,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFBA_A,2.59,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.375859,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHPA_A,2.9,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,25.6,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,33.6,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95063,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95063,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132506.20230302.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,33.6,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.107589,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.107589,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132507.20230303.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,4.83,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.107589,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.107589,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132507.20230303.355464,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXS_A,2.01,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.107589,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.107589,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132507.20230303.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,4.83,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.107589,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.107589,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132507.20230303.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,6.84,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.107589,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.107589,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132507.20230303.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,6.84,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95073,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95073,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132509.20230303.1763231,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOS_A,1.96,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95073,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95073,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132509.20230303.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,3.08,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95073,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95073,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132509.20230303.355464,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFHXS_A,2.01,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95073,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95073,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132509.20230303.DEP18010,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_PFOA_PFOS,5.04,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95073,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95073,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132509.20230303.DEP18016,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_5_PFAS,7.05,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95073,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95073,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132509.20230303.DEP18018,http://w3id.org/sawgraph/v1/me-egad-data#parameter.SUM_OF_6_PFAS,7.05,http://qudt.org/vocab/unit/NanoGM-PER-L
http://w3id.org/sawgraph/v1/me-egad-data#samplePoint.95076,http://w3id.org/sawgraph/v1/me-egad-data#sampledFeature.95076,http://w3id.org/sawgraph/v1/me-egad-data#observation.AAL231132511.20230303.335671,http://w3id.org/sawgraph/v1/me-egad-data#parameter.PFOA_A,2.77,http://qudt.org/vocab/unit/NanoGM-PER-L
